transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl    avg_num_of_people__have_been_sick
0.65 0.4 10.97 200 168
0.7 0.4 10.665 200 168
0.75 0.4 10.435 200 168
0.8 0.4 10.28 200 168
0.85 0.4 10.065 200 168
0.9 0.4 9.985 200 168
0.95 0.4 9.865 200 168
1 0.4 9.775 200 168
0 0.45 5 37 1
0.05 0.45 12.22 43.965 7.965
0.1 0.45 28.425 135.215 99.215
0.15 0.45 23.595 182.095 146.095
0.2 0.45 20.01 195.09 159.09
0.25 0.45 17.405 197.925 161.925
0.3 0.45 15.55 199.45 163.45
0.35 0.45 14.55 199.815 163.815
0.4 0.45 13.355 199.945 163.945
0.45 0.45 12.7 199.98 163.98
0.5 0.45 12.2 199.995 163.995
0.55 0.45 11.605 200 164
0.6 0.45 11.39 199.99 163.99
0.65 0.45 11.04 200 164
0.7 0.45 10.725 200 164
0.75 0.45 10.51 200 164
0.8 0.45 10.275 200 164
0.85 0.45 10.125 200 164
0.9 0.45 10.06 200 164
0.95 0.45 9.875 200 164
1 0.45 9.805 200 164
0 0.5 5 41 1
0.05 0.5 12.435 47.355 7.355
0.1 0.5 29.26 136.83 96.83
0.15 0.5 23.965 179.695 139.695
0.2 0.5 19.74 191.815 151.815
0.25 0.5 17.44 196.23 156.23
0.3 0.5 15.72 199.455 159.455
0.35 0.5 14.395 199.84 159.84
0.4 0.5 13.76 199.92 159.92
0.45 0.5 12.9 199.96 159.96
0.5 0.5 12.31 199.995 159.995
0.55 0.5 11.85 200 160
0.6 0.5 11.405 200 160
0.65 0.5 11.205 200 160
0.7 0.5 10.9 200 160
0.75 0.5 10.595 200 160
0.8 0.5 10.405 200 160
0.85 0.5 10.16 200 160
0.9 0.5 10.075 200 160
0.95 0.5 9.93 200 160
1 0.5 9.865 200 160
0 0.55 5 45 1
0.05 0.55 12.75 52.13 8.13
0.1 0.55 30.87 141.655 97.655
0.15 0.55 24.675 183.55 139.55
0.2 0.55 19.91 190.72 146.72
0.25 0.55 17.405 196.34 152.34
0.3 0.55 16.13 199.51 155.51
0.35 0.55 14.715 199.8 155.8
0.4 0.55 13.545 199.91 155.91
0.45 0.55 12.91 199.955 155.955
0.5 0.55 12.44 199.985 155.985
0.55 0.55 11.895 199.995 155.995
0.6 0.55 11.495 200 156
0.65 0.55 11.185 199.995 155.995
0.7 0.55 10.975 200 156
0.75 0.55 10.715 200 156
0.8 0.55 10.325 200 156
0.85 0.55 10.22 200 156
0.9 0.55 10.115 200 156
0.95 0.55 9.995 200 156
1 0.55 9.845 200 156
0 0.6 5 49 1
0.05 0.6 10.36 53.125 5.125
0.1 0.6 29.145 131.405 83.405
0.15 0.6 24.1 175.22 127.22
0.2 0.6 20.345 193.545 145.545
0.25 0.6 17.93 196.835 148.835
0.3 0.6 16.13 199.27 151.27
0.35 0.6 14.67 199.765 151.765
0.4 0.6 13.975 199.895 151.895
0.45 0.6 13.13 199.98 151.98
0.5 0.6 12.43 199.995 151.995
0.55 0.6 12.095 199.995 151.995
0.6 0.6 11.66 200 152
0.65 0.6 11.175 200 152
0.7 0.6 10.925 200 152
0.75 0.6 10.61 200 152
0.8 0.6 10.44 200 152
0.85 0.6 10.275 200 152
0.9 0.6 10.11 200 152
0.95 0.6 10.02 200 152
1 0.6 9.915 200 152
0 0.65 5 53 1
0.05 0.65 11.3 58.125 6.125
0.1 0.65 27.885 125.555 73.555
0.15 0.65 25.535 180.825 128.825
0.2 0.65 20.405 189.015 137.015
0.25 0.65 18.015 195.155 143.155
0.3 0.65 16.4 199.235 147.235
0.35 0.65 14.83 198.935 146.935
0.4 0.65 14.105 199.885 147.885
0.45 0.65 13.205 199.97 147.97
0.5 0.65 12.6 199.975 147.975
0.55 0.65 12.11 199.995 147.995
0.6 0.65 11.7 200 148
0.65 0.65 11.375 200 148
0.7 0.65 11.12 200 148
0.75 0.65 10.785 200 148
0.8 0.65 10.52 200 148
0.85 0.65 10.385 200 148
0.9 0.65 10.155 200 148
0.95 0.65 10.07 200 148
1 0.65 9.91 200 148
0 0.7 5 57 1
0.05 0.7 9.81 60.535 4.535
0.1 0.7 29.925 133.045 77.045
0.15 0.7 25.39 178.51 122.51
0.2 0.7 20.965 191.87 135.87
0.25 0.7 18.07 193.72 137.72
0.3 0.7 16.345 198.47 142.47
0.35 0.7 15.09 199.685 143.685
0.4 0.7 14.175 199.85 143.85
0.45 0.7 13.385 199.955 143.955
0.5 0.7 12.68 199.98 143.98
0.55 0.7 12.275 199.995 143.995
0.6 0.7 11.85 200 144
0.65 0.7 11.405 199.99 143.99
0.7 0.7 11.055 200 144
0.75 0.7 10.825 200 144
0.8 0.7 10.55 200 144
0.85 0.7 10.385 200 144
0.9 0.7 10.295 200 144
0.95 0.7 10.11 200 144
1 0.7 10.035 200 144
0 0.75 5 61 1
0.05 0.75 10.2 64.75 4.75
0.1 0.75 30.24 128.28 68.28
0.15 0.75 25.605 174.68 114.68
0.2 0.75 21.015 188.67 128.67
0.25 0.75 18.445 196.465 136.465
0.3 0.75 16.615 198.475 138.475
0.35 0.75 15.245 199.62 139.62
0.4 0.75 14.33 199.84 139.84
0.45 0.75 13.555 199.94 139.94
0.5 0.75 12.845 199.96 139.96
0.55 0.75 12.31 199.995 139.995
0.6 0.75 11.8 200 140
0.65 0.75 11.45 199.995 139.995
0.7 0.75 11.175 200 140
0.75 0.75 10.93 200 140
0.8 0.75 10.705 199.995 139.995
0.85 0.75 10.45 200 140
0.9 0.75 10.32 200 140
0.95 0.75 10.165 200 140
1 0.75 10.025 200 140
0 0.8 5 65 1
0.05 0.8 9.515 68.255 4.255
0.1 0.8 28.035 123.78 59.78
0.15 0.8 24.935 171.77 107.77
0.2 0.8 21.81 191.02 127.02
0.25 0.8 18.64 194.355 130.355
0.3 0.8 17.06 199.135 135.135
0.35 0.8 15.495 198.94 134.94
0.4 0.8 14.545 199.79 135.79
0.45 0.8 13.505 199.9 135.9
0.5 0.8 12.955 199.955 135.955
0.55 0.8 12.36 199.975 135.975
0.6 0.8 12.06 199.995 135.995
0.65 0.8 11.525 199.995 135.995
0.7 0.8 11.265 200 136
0.75 0.8 10.985 200 136
0.8 0.8 10.76 200 136
0.85 0.8 10.535 200 136
0.9 0.8 10.355 199.995 135.995
0.95 0.8 10.245 200 136
1 0.8 10.065 200 136
0 0.85 5 69 1
0.05 0.85 9.315 71.99 3.99
0.1 0.85 26.81 120.03 52.03
0.15 0.85 25.435 169.755 101.755
0.2 0.85 22.305 192.29 124.29
0.25 0.85 19.155 196.575 128.575
0.3 0.85 17.3 198.31 130.31
0.35 0.85 15.705 199.45 131.45
0.4 0.85 14.485 199.775 131.775
0.45 0.85 13.83 199.87 131.87
0.5 0.85 13.095 199.955 131.955
0.55 0.85 12.525 199.99 131.99
0.6 0.85 12.095 199.985 131.985
0.65 0.85 11.79 199.995 131.995
0.7 0.85 11.39 199.995 131.995
0.75 0.85 11.13 200 132
0.8 0.85 10.805 200 132
0.85 0.85 10.57 200 132
0.9 0.85 10.345 200 132
0.95 0.85 10.285 200 132
1 0.85 10.115 200 132
0 0.9 5 73 1
0.05 0.9 8.865 75.545 3.545
0.1 0.9 26.35 118.355 46.355
0.15 0.9 25.735 169.075 97.075
0.2 0.9 22.53 188.68 116.68
0.25 0.9 19.605 196.57 124.57
0.3 0.9 17.47 198.08 126.08
0.35 0.9 15.8 199.34 127.34
0.4 0.9 14.68 199.75 127.75
0.45 0.9 13.955 199.885 127.885
0.5 0.9 13.205 199.925 127.925
0.55 0.9 12.735 199.97 127.97
0.6 0.9 12.07 199.985 127.985
0.65 0.9 11.83 199.995 127.995
0.7 0.9 11.55 200 128
0.75 0.9 11.175 199.995 127.995
0.8 0.9 10.93 200 128
0.85 0.9 10.73 200 128
0.9 0.9 10.485 200 128
0.95 0.9 10.35 200 128
1 0.9 10.185 200 128
0 0.95 5 77 1
0.05 0.95 8.97 79.68 3.68
0.1 0.95 23.5 114.19 38.19
0.15 0.95 25.245 161.8 85.8
0.2 0.95 22.955 187.145 111.145
0.25 0.95 19.6 194.96 118.96
0.3 0.95 17.61 197.88 121.88
0.35 0.95 16.075 199.295 123.295
0.4 0.95 14.975 199.71 123.71
0.45 0.95 14.14 199.845 123.845
0.5 0.95 13.39 199.945 123.945
0.55 0.95 12.845 199.955 123.955
0.6 0.95 12.24 199.98 123.98
0.65 0.95 11.96 200 124
0.7 0.95 11.675 200 124
0.75 0.95 11.225 200 124
0.8 0.95 11.025 199.995 123.995
0.85 0.95 10.715 200 124
0.9 0.95 10.6 200 124
0.95 0.95 10.385 200 124
1 0.95 10.31 200 124
