transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl    avg_num_of_people__have_been_sick
0.1 0.45 21.98 117.035 27.035
0.15 0.45 27.88 165.385 75.385
0.2 0.45 23.575 181.4 91.4
0.25 0.45 21.565 193.43 103.43
0.3 0.45 18.51 195.595 105.595
0.35 0.45 17.025 197.825 107.825
0.4 0.45 15.825 198.9 108.9
0.45 0.45 14.825 199.135 109.135
0.5 0.45 13.905 199.29 109.29
0.55 0.45 13.305 199.93 109.93
0.6 0.45 12.82 199.975 109.975
0.65 0.45 12.435 199.98 109.98
0.7 0.45 11.94 199.995 109.995
0.75 0.45 11.57 200 110
0.8 0.45 11.42 199.99 109.99
0.85 0.45 11.065 200 110
0.9 0.45 10.915 200 110
0.95 0.45 10.67 200 110
1 0.45 10.5 200 110
0 0.5 5 101 1
0.05 0.5 7.48 102.365 2.365
0.1 0.5 16.895 114.11 14.11
0.15 0.5 25.785 154.575 54.575
0.2 0.5 24.73 178.81 78.81
0.25 0.5 21.35 187.53 87.53
0.3 0.5 19.355 194.555 94.555
0.35 0.5 18.035 197.315 97.315
0.4 0.5 16.32 199.07 99.07
0.45 0.5 15.255 199.535 99.535
0.5 0.5 14.58 199.68 99.68
0.55 0.5 13.87 199.885 99.885
0.6 0.5 13.22 199.94 99.94
0.65 0.5 12.765 199.48 99.48
0.7 0.5 12.3 199.97 99.97
0.75 0.5 11.905 199.995 99.995
0.8 0.5 11.58 199.99 99.99
0.85 0.5 11.285 199.995 99.995
0.9 0.5 11.12 199.995 99.995
0.95 0.5 10.95 200 100
1 0.5 10.67 200 100
0 0.55 5 111 1
0.05 0.55 7.28 112.08 2.08
0.1 0.55 14.54 120.09 10.09
0.15 0.55 24.965 148.445 38.445
0.2 0.55 25.02 173.52 63.52
0.25 0.55 21.885 184.8 74.8
0.3 0.55 20.53 193.705 83.705
0.35 0.55 18.595 196.055 86.055
0.4 0.55 17.145 197.43 87.43
0.45 0.55 16.055 198.46 88.46
0.5 0.55 15.06 198.71 88.71
0.55 0.55 14.53 199.79 89.79
0.6 0.55 13.755 199.855 89.855
0.65 0.55 13.165 199.92 89.92
0.7 0.55 12.865 199.945 89.945
0.75 0.55 12.33 199.975 89.975
0.8 0.55 11.98 199.975 89.975
0.85 0.55 11.79 200 90
0.9 0.55 11.395 200 90
0.95 0.55 11.295 200 90
1 0.55 11 200 90
0 0.6 5 121 1
0.05 0.6 6.655 121.815 1.815
0.1 0.6 12.15 126.42 6.42
0.15 0.6 20.97 143.375 23.375
0.2 0.6 25.685 171.36 51.36
0.25 0.6 23.77 184.4 64.4
0.3 0.6 21.075 190.425 70.425
0.35 0.6 19.175 193.685 73.685
0.4 0.6 18.115 196.985 76.985
0.45 0.6 16.875 198.09 78.09
0.5 0.6 15.995 199.01 79.01
0.55 0.6 15.035 199.61 79.61
0.6 0.6 14.51 199.72 79.72
0.65 0.6 13.88 199.89 79.89
0.7 0.6 13.18 199.895 79.895
0.75 0.6 12.72 199.94 79.94
0.8 0.6 12.46 199.97 79.97
0.85 0.6 12.065 199.985 79.985
0.9 0.6 11.87 199.995 79.995
0.95 0.6 11.62 200 80
1 0.6 11.395 199.995 79.995
0 0.65 5 131 1
0.05 0.65 6.5 131.66 1.66
0.1 0.65 9.88 134.495 4.495
0.15 0.65 17.885 144.96 14.96
0.2 0.65 22.99 162.25 32.25
0.25 0.65 24.46 178.82 48.82
0.3 0.65 22.76 186.255 56.255
0.35 0.65 21.115 192.82 62.82
0.4 0.65 19.195 196.025 66.025
0.45 0.65 17.795 197.66 67.66
0.5 0.65 16.685 197.535 67.535
0.55 0.65 15.955 199.17 69.17
0.6 0.65 15.275 199.445 69.445
0.65 0.65 14.45 199.705 69.705
0.7 0.65 13.895 199.805 69.805
0.75 0.65 13.475 199.855 69.855
0.8 0.65 13.2 199.9 69.9
0.85 0.65 12.635 199.95 69.95
0.9 0.65 12.405 199.975 69.975
0.95 0.65 12.09 199.96 69.96
1 0.65 11.845 199.995 69.995
0 0.7 5 141 1
0.05 0.7 6.13 141.545 1.545
0.1 0.7 8.51 143.095 3.095
0.15 0.7 12.71 147.68 7.68
0.2 0.7 18.125 158.205 18.205
0.25 0.7 23.545 172.85 32.85
0.3 0.7 22.92 183.565 43.565
0.35 0.7 21.58 188.435 48.435
0.4 0.7 20.56 192.525 52.525
0.45 0.7 19.385 196.155 56.155
0.5 0.7 18.205 196.985 56.985
0.55 0.7 17.17 197.89 57.89
0.6 0.7 15.99 198.525 58.525
0.65 0.7 15.455 199.425 59.425
0.7 0.7 14.7 199.51 59.51
0.75 0.7 14.14 199.45 59.45
0.8 0.7 13.83 199.79 59.79
0.85 0.7 13.3 199.865 59.865
0.9 0.7 13.085 199.915 59.915
0.95 0.7 12.82 199.965 59.965
1 0.7 12.395 199.96 59.96
0 0.75 5 151 1
0.05 0.75 6.225 151.535 1.535
0.1 0.75 7.365 152.32 2.32
0.15 0.75 9.61 154.08 4.08
0.2 0.75 14.12 159.575 9.575
0.25 0.75 17.99 166.86 16.86
0.3 0.75 21.01 176.12 26.12
0.35 0.75 21.11 182.43 32.43
0.4 0.75 21.155 187.65 37.65
0.45 0.75 20.06 191.34 41.34
0.5 0.75 19.52 194.99 44.99
0.55 0.75 18.325 196.965 46.965
0.6 0.75 17.525 197.72 47.72
0.65 0.75 16.81 198.29 48.29
0.7 0.75 15.875 198.86 48.86
0.75 0.75 15.39 198.98 48.98
0.8 0.75 14.61 199.635 49.635
0.85 0.75 14.26 199.445 49.445
0.9 0.75 13.885 199.675 49.675
0.95 0.75 13.57 199.835 49.835
1 0.75 13.12 199.89 49.89
0 0.8 5 161 1
0.05 0.8 5.56 161.255 1.255
0.1 0.8 6.625 161.775 1.775
0.15 0.8 8.43 162.875 2.875
0.2 0.8 11.02 165.115 5.115
0.25 0.8 13.6 168.2 8.2
0.3 0.8 15.35 171.565 11.565
0.35 0.8 18.68 178.51 18.51
0.4 0.8 19.93 183.395 23.395
0.45 0.8 20.6 187.98 27.98
0.5 0.8 20.65 191.455 31.455
0.55 0.8 18.69 194.065 34.065
0.6 0.8 19.105 196.04 36.04
0.65 0.8 17.95 197.095 37.095
0.7 0.8 17.21 197.01 37.01
0.75 0.8 16.34 197.05 37.05
0.8 0.8 15.91 197.71 37.71
0.85 0.8 15.495 198.95 38.95
0.9 0.8 14.895 198.995 38.995
0.95 0.8 14.69 199.585 39.585
1 0.8 14.235 199.485 39.485
0 0.85 5 171 1
0.05 0.85 5.645 171.23 1.23
0.1 0.85 6.11 171.525 1.525
0.15 0.85 6.71 171.875 1.875
0.2 0.85 8.465 173.095 3.095
0.25 0.85 8.635 173.43 3.43
0.3 0.85 9.955 174.64 4.64
0.35 0.85 12.51 177.225 7.225
0.4 0.85 14.89 180.335 10.335
0.45 0.85 15.955 181.92 11.92
0.5 0.85 18.115 186.66 16.66
0.55 0.85 18.185 188.32 18.32
0.6 0.85 18.03 189.665 19.665
0.65 0.85 18.335 191.985 21.985
0.7 0.85 17.655 193.21 23.21
0.75 0.85 18.28 196.205 26.205
0.8 0.85 17.405 196.755 26.755
0.85 0.85 17.335 197.65 27.65
0.9 0.85 16.43 197.47 27.47
0.95 0.85 16.34 198.105 28.105
1 0.85 15.38 198.36 28.36
0 0.9 5 181 1
0.05 0.9 5.18 181.095 1.095
0.1 0.9 5.515 181.23 1.23
0.15 0.9 5.945 181.475 1.475
0.2 0.9 6.745 181.825 1.825
0.25 0.9 6.735 181.855 1.855
0.3 0.9 7.54 182.37 2.37
0.35 0.9 8.395 183.065 3.065
0.4 0.9 9.035 183.515 3.515
0.45 0.9 9.885 184.425 4.425
0.5 0.9 11.095 185.305 5.305
0.55 0.9 12.16 186.725 6.725
0.6 0.9 12.93 187.15 7.15
0.65 0.9 13.63 188.505 8.505
0.7 0.9 13.855 189.015 9.015
0.75 0.9 14.945 190.395 10.395
0.8 0.9 15.565 192.005 12.005
0.85 0.9 16.14 192.875 12.875
0.9 0.9 15.825 193.515 13.515
0.95 0.9 16.715 195.22 15.22
1 0.9 15.86 194.62 14.62
0 0.95 5 191 1
0.05 0.95 5.16 191.055 1.055
0.1 0.95 5.31 191.145 1.145
0.15 0.95 5.42 191.185 1.185
0.2 0.95 5.495 191.21 1.21
0.25 0.95 5.99 191.39 1.39
0.3 0.95 5.795 191.375 1.375
0.35 0.95 6.15 191.575 1.575
0.4 0.95 6.355 191.625 1.625
0.45 0.95 6.525 191.775 1.775
0.5 0.95 7 192.04 2.04
0.55 0.95 7.125 192.005 2.005
0.6 0.95 7.355 192.17 2.17
0.65 0.95 7.225 192.175 2.175
0.7 0.95 7.6 192.395 2.395
0.75 0.95 8.085 192.68 2.68
0.8 0.95 7.875 192.7 2.7
0.85 0.95 7.9 192.745 2.745
0.9 0.95 8.61 193.07 3.07
0.95 0.95 8.89 193.26 3.26
1 0.95 8.945 193.31 3.31
