transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl    avg_num_of_people__have_been_sick
0 0 5 1 1
0.05 0 19.81 22.795 22.795
0.1 0 27.72 159.02 159.02
0.15 0 21.505 186.26 186.26
0.2 0 18.15 197.405 197.405
0.25 0 15.935 199.525 199.525
0.3 0 14.425 199.87 199.87
0.35 0 13.325 199.96 199.96
0.4 0 12.595 199.995 199.995
0.45 0 12.03 200 200
0.5 0 11.43 199.995 199.995
0.55 0 11.16 200 200
0.6 0 10.865 200 200
0.65 0 10.53 200 200
0.7 0 10.24 200 200
0.75 0 10.115 200 200
0.8 0 10 200 200
0.85 0 9.86 200 200
0.9 0 9.715 200 200
0.95 0 9.49 200 200
1 0 9.24 200 200
0 0.05 5 11 1
0.05 0.05 16.77 26.565 16.565
0.1 0.05 29.255 158.49 148.49
0.15 0.05 21.88 186.525 176.525
0.2 0.05 18.355 194.98 184.98
0.25 0.05 16.215 199.35 189.35
0.3 0.05 14.605 199.785 189.785
0.35 0.05 13.615 199.94 189.94
0.4 0.05 12.705 199.985 189.985
0.45 0.05 12.185 199.995 189.995
0.5 0.05 11.605 200 190
0.55 0.05 11.345 200 190
0.6 0.05 10.97 200 190
0.65 0.05 10.68 200 190
0.7 0.05 10.385 200 190
0.75 0.05 10.18 200 190
0.8 0.05 10.085 200 190
0.85 0.05 9.975 200 190
0.9 0.05 9.825 200 190
0.95 0.05 9.655 200 190
1 0.05 9.37 200 190
0 0.1 5 21 1
0.05 0.1 16.32 33.73 13.73
0.1 0.1 28.29 146.95 126.95
0.15 0.1 23.17 189.45 169.45
0.2 0.1 18.635 194.065 174.065
0.25 0.1 16.685 199.16 179.16
0.3 0.1 14.995 199.715 179.715
0.35 0.1 13.835 199.905 179.905
0.4 0.1 13.06 199.965 179.965
0.45 0.1 12.29 199.995 179.995
0.5 0.1 11.925 199.995 179.995
0.55 0.1 11.395 200 180
0.6 0.1 11.16 200 180
0.65 0.1 10.77 200 180
0.7 0.1 10.535 200 180
0.75 0.1 10.295 200 180
0.8 0.1 10.1 200 180
0.85 0.1 10.05 200 180
0.9 0.1 9.975 200 180
0.95 0.1 9.73 200 180
1 0.1 9.61 200 180
0 0.15 5 31 1
0.05 0.15 14.53 41.795 11.795
0.1 0.15 29.775 146.76 116.76
0.15 0.15 23.02 179.26 149.26
0.2 0.15 19.405 194.47 164.47
0.25 0.15 16.945 198.115 168.115
0.3 0.15 15.38 199.635 169.635
0.35 0.15 14.235 199.87 169.87
0.4 0.15 13.345 199.935 169.935
0.45 0.15 12.62 199.975 169.975
0.5 0.15 11.98 199.99 169.99
0.55 0.15 11.58 200 170
0.6 0.15 11.335 200 170
0.65 0.15 10.955 200 170
0.7 0.15 10.67 200 170
0.75 0.15 10.425 200 170
0.8 0.15 10.26 200 170
0.85 0.15 10.055 200 170
0.9 0.15 9.97 200 170
0.95 0.15 9.855 200 170
1 0.15 9.685 200 170
0 0.2 5 41 1
0.05 0.2 12.815 48.865 8.865
0.1 0.2 30.64 141.215 101.215
0.15 0.2 24.375 187.375 147.375
0.2 0.2 20.33 194.61 154.61
0.25 0.2 17.6 198.635 158.635
0.3 0.2 15.77 198.725 158.725
0.35 0.2 14.415 199.715 159.715
0.4 0.2 13.475 199.91 159.91
0.45 0.2 12.79 199.985 159.985
0.5 0.2 12.22 200 160
0.55 0.2 11.82 199.995 159.995
0.6 0.2 11.43 199.995 159.995
0.65 0.2 11.125 200 160
0.7 0.2 10.845 200 160
0.75 0.2 10.505 200 160
0.8 0.2 10.315 199.995 159.995
0.85 0.2 10.18 200 160
0.9 0.2 10.04 200 160
0.95 0.2 9.95 200 160
1 0.2 9.835 200 160
0 0.25 5 51 1
0.05 0.25 10.095 54.785 4.785
0.1 0.25 29.03 130.615 80.615
0.15 0.25 24.21 178.365 128.365
0.2 0.25 20.81 191.155 141.155
0.25 0.25 18 197.43 147.43
0.3 0.25 16.07 199.32 149.32
0.35 0.25 14.705 199.73 149.73
0.4 0.25 13.945 199.89 149.89
0.45 0.25 13.11 199.965 149.965
0.5 0.25 12.58 199.995 149.995
0.55 0.25 12.02 199.985 149.985
0.6 0.25 11.71 199.99 149.99
0.65 0.25 11.305 200 150
0.7 0.25 11.085 200 150
0.75 0.25 10.83 200 150
0.8 0.25 10.53 200 150
0.85 0.25 10.31 200 150
0.9 0.25 10.15 200 150
0.95 0.25 10.05 200 150
1 0.25 9.97 200 150
0 0.3 5 61 1
0.05 0.3 9.91 64.57 4.57
0.1 0.3 28.655 126.74 66.74
0.15 0.3 24.83 170.485 110.485
0.2 0.3 21.595 190.165 130.165
0.25 0.3 18.76 197.15 137.15
0.3 0.3 16.64 198.345 138.345
0.35 0.3 15.405 199.605 139.605
0.4 0.3 14.285 199.845 139.845
0.45 0.3 13.425 199.93 139.93
0.5 0.3 12.91 199.975 139.975
0.55 0.3 12.325 199.985 139.985
0.6 0.3 11.92 200 140
0.65 0.3 11.45 200 140
0.7 0.3 11.135 200 140
0.75 0.3 10.94 200 140
0.8 0.3 10.68 200 140
0.85 0.3 10.53 200 140
0.9 0.3 10.235 200 140
0.95 0.3 10.145 200 140
1 0.3 10.035 200 140
0 0.35 5 71 1
0.05 0.35 8.455 73.205 3.205
0.1 0.35 28.01 125.165 55.165
0.15 0.35 24.925 167.045 97.045
0.2 0.35 21.675 187.1 117.1
0.25 0.35 19.05 194.675 124.675
0.3 0.35 17.185 198.815 128.815
0.35 0.35 15.87 199.375 129.375
0.4 0.35 14.675 199.75 129.75
0.45 0.35 13.685 199.895 129.895
0.5 0.35 13.2 199.95 129.95
0.55 0.35 12.645 199.975 129.975
0.6 0.35 12.14 199.995 129.995
0.65 0.35 11.735 199.995 129.995
0.7 0.35 11.445 200 130
0.75 0.35 11.105 200 130
0.8 0.35 10.775 200 130
0.85 0.35 10.765 200 130
0.9 0.35 10.375 200 130
0.95 0.35 10.31 200 130
1 0.35 10.12 200 130
0 0.4 5 81 1
0.05 0.4 8.405 83.11 3.11
0.1 0.4 23.425 114.15 34.15
0.15 0.4 26.415 166.02 86.02
0.2 0.4 23.365 189.59 109.59
0.25 0.4 20.125 193.75 113.75
0.3 0.4 17.91 197.1 117.1
0.35 0.4 16.345 198.035 118.035
0.4 0.4 15.25 199.585 119.585
0.45 0.4 14.37 199.765 119.765
0.5 0.4 13.61 199.925 119.925
0.55 0.4 13.05 199.965 119.965
0.6 0.4 12.36 199.98 119.98
0.65 0.4 11.955 199.995 119.995
0.7 0.4 11.665 199.995 119.995
0.75 0.4 11.31 200 120
0.8 0.4 11.08 200 120
0.85 0.4 10.905 200 120
0.9 0.4 10.58 200 120
0.95 0.4 10.44 200 120
1 0.4 10.32 200 120
0 0.45 5 91 1
0.05 0.45 7.78 92.64 2.64
