transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl
0.95 0.6 8 20
1 0.6 7 20
0 0.65 5 14
0.05 0.65 6 14
0.1 0.65 7 15
0.15 0.65 8 15
0.2 0.65 9 17
0.25 0.65 10 17
0.3 0.65 10 18
0.35 0.65 11 19
0.4 0.65 10 19
0.45 0.65 10 19
0.5 0.65 10 19
0.55 0.65 9 19
0.6 0.65 9 19
0.65 0.65 9 19
0.7 0.65 9 19
0.75 0.65 8 19
0.8 0.65 8 19
0.85 0.65 8 19
0.9 0.65 8 19
0.95 0.65 8 19
1 0.65 8 20
0 0.7 5 15
0.05 0.7 5 15
0.1 0.7 6 15
0.15 0.7 8 16
0.2 0.7 9 17
0.25 0.7 9 17
0.3 0.7 9 18
0.35 0.7 10 18
0.4 0.7 10 19
0.45 0.7 10 19
0.5 0.7 10 19
0.55 0.7 9 19
0.6 0.7 9 19
0.65 0.7 9 19
0.7 0.7 9 19
0.75 0.7 8 19
0.8 0.7 8 19
0.85 0.7 8 19
0.9 0.7 8 19
0.95 0.7 8 20
1 0.7 8 20
0 0.75 5 16
0.05 0.75 5 16
0.1 0.75 6 16
0.15 0.75 7 17
0.2 0.75 8 17
0.25 0.75 8 17
0.3 0.75 9 18
0.35 0.75 9 18
0.4 0.75 9 18
0.45 0.75 9 19
0.5 0.75 9 19
0.55 0.75 9 19
0.6 0.75 9 19
0.65 0.75 9 19
0.7 0.75 8 19
0.75 0.75 8 19
0.8 0.75 8 19
0.85 0.75 8 19
0.9 0.75 8 19
0.95 0.75 8 19
1 0.75 8 19
0 0.8 5 17
0.05 0.8 5 17
0.1 0.8 6 17
0.15 0.8 6 17
0.2 0.8 6 17
0.25 0.8 7 18
0.3 0.8 7 18
0.35 0.8 8 18
0.4 0.8 8 18
0.45 0.8 8 19
0.5 0.8 9 19
0.55 0.8 8 19
0.6 0.8 8 19
0.65 0.8 8 19
0.7 0.8 8 19
0.75 0.8 8 19
0.8 0.8 8 19
0.85 0.8 8 19
0.9 0.8 8 19
0.95 0.8 8 19
1 0.8 8 19
0 0.85 5 18
0.05 0.85 5 18
0.1 0.85 5 18
0.15 0.85 5 18
0.2 0.85 6 18
0.25 0.85 6 18
0.3 0.85 6 18
0.35 0.85 6 18
0.4 0.85 7 19
0.45 0.85 7 19
0.5 0.85 7 19
0.55 0.85 7 19
0.6 0.85 7 19
0.65 0.85 7 19
0.7 0.85 7 19
0.75 0.85 7 19
0.8 0.85 7 19
0.85 0.85 7 19
0.9 0.85 7 19
0.95 0.85 7 19
1 0.85 7 19
0 0.9 5 19
0.05 0.9 5 19
0.1 0.9 5 19
0.15 0.9 5 19
0.2 0.9 5 19
0.25 0.9 5 19
0.3 0.9 5 19
0.35 0.9 5 19
0.4 0.9 6 19
0.45 0.9 5 19
0.5 0.9 6 19
0.55 0.9 6 19
0.6 0.9 6 19
0.65 0.9 6 19
0.7 0.9 6 19
0.75 0.9 6 19
0.8 0.9 6 19
0.85 0.9 6 19
0.9 0.9 6 19
0.95 0.9 6 19
1 0.9 6 19
0 0.95 5 20
0.05 0.95 5 20
0.1 0.95 5 20
0.15 0.95 5 20
0.2 0.95 5 20
0.25 0.95 5 20
0.3 0.95 5 20
0.35 0.95 5 20
0.4 0.95 5 20
0.45 0.95 5 20
0.5 0.95 5 20
0.55 0.95 5 20
0.6 0.95 5 20
0.65 0.95 5 20
0.7 0.95 5 20
0.75 0.95 5 20
0.8 0.95 5 20
0.85 0.95 5 20
0.9 0.95 5 20
0.95 0.95 5 20
1 0.95 5 20
transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl
0 0 5 1
0.05 0 19 22
0.1 0 27 159
0.15 0 21 186
0.2 0 18 197
0.25 0 15 199
0.3 0 14 199
0.35 0 13 199
0.4 0 12 199
0.45 0 12 200
0.5 0 11 199
0.55 0 11 200
0.6 0 10 200
0.65 0 10 200
0.7 0 10 200
0.75 0 10 200
0.8 0 10 200
0.85 0 9 200
0.9 0 9 200
0.95 0 9 200
1 0 9 200
0 0.05 5 11
0.05 0.05 16 26
0.1 0.05 29 158
0.15 0.05 21 186
0.2 0.05 18 194
0.25 0.05 16 199
0.3 0.05 14 199
0.35 0.05 13 199
0.4 0.05 12 199
0.45 0.05 12 199
0.5 0.05 11 200
0.55 0.05 11 200
0.6 0.05 10 200
0.65 0.05 10 200
0.7 0.05 10 200
0.75 0.05 10 200
0.8 0.05 10 200
0.85 0.05 9 200
0.9 0.05 9 200
0.95 0.05 9 200
1 0.05 9 200
0 0.1 5 21
0.05 0.1 16 33
0.1 0.1 28 146
0.15 0.1 23 189
0.2 0.1 18 194
0.25 0.1 16 199
0.3 0.1 14 199
0.35 0.1 13 199
0.4 0.1 13 199
0.45 0.1 12 199
0.5 0.1 11 199
0.55 0.1 11 200
0.6 0.1 11 200
0.65 0.1 10 200
0.7 0.1 10 200
0.75 0.1 10 200
0.8 0.1 10 200
0.85 0.1 10 200
0.9 0.1 9 200
0.95 0.1 9 200
1 0.1 9 200
0 0.15 5 31
0.05 0.15 14 41
0.1 0.15 29 146
0.15 0.15 23 179
0.2 0.15 19 194
0.25 0.15 16 198
0.3 0.15 15 199
0.35 0.15 14 199
0.4 0.15 13 199
0.45 0.15 12 199
0.5 0.15 11 199
0.55 0.15 11 200
