transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl    avg_num_of_people__have_been_sick
0.75 0.4 8.38 19.995 11.995
0.8 0.4 8.23 20 12
0.85 0.4 8.14 20 12
0.9 0.4 8.01 20 12
0.95 0.4 7.885 20 12
1 0.4 7.82 20 12
0 0.45 5 10 1
0.05 0.45 7.13 11.055 2.055
0.1 0.45 10.31 13.44 4.44
0.15 0.45 12.87 16.32 7.32
0.2 0.45 13.18 18.335 9.335
0.25 0.45 12.145 19.055 10.055
0.3 0.45 11.6 19.45 10.45
0.35 0.45 11.005 19.84 10.84
0.4 0.45 10.44 19.795 10.795
0.45 0.45 9.83 19.97 10.97
0.5 0.45 9.43 19.98 10.98
0.55 0.45 9.19 19.985 10.985
0.6 0.45 8.925 20 11
0.65 0.45 8.7 19.995 10.995
0.7 0.45 8.565 19.995 10.995
0.75 0.45 8.405 20 11
0.8 0.45 8.305 20 11
0.85 0.45 8.255 20 11
0.9 0.45 8.045 20 11
0.95 0.45 7.92 20 11
1 0.45 7.885 20 11
0 0.5 5 11 1
0.05 0.5 6.98 11.975 1.975
0.1 0.5 9.365 13.74 3.74
0.15 0.5 12.095 16.055 6.055
0.2 0.5 12.55 17.7 7.7
0.25 0.5 12.86 18.91 8.91
0.3 0.5 12.03 19.545 9.545
0.35 0.5 11.35 19.72 9.72
0.4 0.5 10.56 19.755 9.755
0.45 0.5 10.115 19.925 9.925
0.5 0.5 9.895 19.995 9.995
0.55 0.5 9.36 19.955 9.955
0.6 0.5 9 20 10
0.65 0.5 8.885 19.995 9.995
0.7 0.5 8.715 20 10
0.75 0.5 8.475 20 10
0.8 0.5 8.34 20 10
0.85 0.5 8.165 20 10
0.9 0.5 8.14 20 10
0.95 0.5 8.025 20 10
1 0.5 7.9 20 10
0 0.55 5 12 1
0.05 0.55 6.62 12.78 1.78
0.1 0.55 8.365 13.875 2.875
0.15 0.55 10.84 15.99 4.99
0.2 0.55 11.865 17.425 6.425
0.25 0.55 12.055 18.78 7.78
0.3 0.55 11.995 19.25 8.25
0.35 0.55 11.07 19.42 8.42
0.4 0.55 10.665 19.86 8.86
0.45 0.55 10.175 19.835 8.835
0.5 0.55 9.78 19.94 8.94
0.55 0.55 9.565 19.975 8.975
0.6 0.55 9.295 19.985 8.985
0.65 0.55 9.175 19.99 8.99
0.7 0.55 8.805 20 9
0.75 0.55 8.635 20 9
0.8 0.55 8.31 20 9
0.85 0.55 8.32 20 9
0.9 0.55 8.1 20 9
0.95 0.55 8.1 20 9
1 0.55 8.065 20 9
0 0.6 5 13 1
0.05 0.6 6.555 13.73 1.73
0.1 0.6 8.15 14.7 2.7
0.15 0.6 10.385 16.33 4.33
0.2 0.6 11.19 17.21 5.21
0.25 0.6 11 17.845 5.845
0.3 0.6 11.61 19.065 7.065
0.35 0.6 11.51 19.44 7.44
0.4 0.6 10.815 19.655 7.655
0.45 0.6 10.48 19.795 7.795
0.5 0.6 10.065 19.88 7.88
0.55 0.6 9.685 19.935 7.935
0.6 0.6 9.465 19.985 7.985
0.65 0.6 9.165 19.985 7.985
0.7 0.6 8.815 19.995 7.995
0.75 0.6 8.835 19.995 7.995
0.8 0.6 8.505 20 8
0.85 0.6 8.355 20 8
0.9 0.6 8.26 20 8
0.95 0.6 8.145 20 8
1 0.6 7.94 20 8
0 0.65 5 14 1
0.05 0.65 6.49 14.7 1.7
0.1 0.65 7.51 15.315 2.315
0.15 0.65 8.435 15.985 2.985
0.2 0.65 9.905 17.105 4.105
0.25 0.65 10.135 17.785 4.785
0.3 0.65 10.875 18.595 5.595
0.35 0.65 11.08 19.285 6.285
0.4 0.65 10.48 19.28 6.28
0.45 0.65 10.725 19.795 6.795
0.5 0.65 10.2 19.815 6.815
0.55 0.65 9.58 19.875 6.875
0.6 0.65 9.855 19.9 6.9
0.65 0.65 9.23 19.985 6.985
0.7 0.65 9.02 19.99 6.99
0.75 0.65 8.88 19.99 6.99
0.8 0.65 8.63 19.99 6.99
0.85 0.65 8.57 19.995 6.995
0.9 0.65 8.335 19.99 6.99
0.95 0.65 8.24 19.985 6.985
1 0.65 8.005 20 7
0 0.7 5 15 1
0.05 0.7 5.98 15.435 1.435
0.1 0.7 6.83 15.87 1.87
0.15 0.7 8.23 16.665 2.665
0.2 0.7 9.01 17.255 3.255
0.25 0.7 9.28 17.835 3.835
0.3 0.7 9.645 18.105 4.105
0.35 0.7 10.17 18.865 4.865
0.4 0.7 10.74 19.42 5.42
0.45 0.7 10.445 19.55 5.55
0.5 0.7 10.03 19.62 5.62
0.55 0.7 9.895 19.75 5.75
0.6 0.7 9.52 19.9 5.9
0.65 0.7 9.375 19.88 5.88
0.7 0.7 9.07 19.895 5.895
0.75 0.7 8.92 19.98 5.98
0.8 0.7 8.75 19.985 5.985
0.85 0.7 8.625 19.995 5.995
0.9 0.7 8.545 19.99 5.99
0.95 0.7 8.285 20 6
1 0.7 8.2 20 6
0 0.75 5 16 1
0.05 0.75 5.685 16.285 1.285
0.1 0.75 6.375 16.655 1.655
0.15 0.75 7.17 17.03 2.03
0.2 0.75 8.205 17.63 2.63
0.25 0.75 8.535 17.965 2.965
0.3 0.75 9.645 18.65 3.65
0.35 0.75 9.415 18.755 3.755
0.4 0.75 9.405 18.92 3.92
0.45 0.75 9.295 19.035 4.035
0.5 0.75 9.3 19.37 4.37
0.55 0.75 9.45 19.535 4.535
0.6 0.75 9.33 19.745 4.745
0.65 0.75 9.285 19.82 4.82
0.7 0.75 8.99 19.845 4.845
0.75 0.75 8.92 19.92 4.92
0.8 0.75 8.94 19.925 4.925
0.85 0.75 8.625 19.92 4.92
0.9 0.75 8.365 19.92 4.92
0.95 0.75 8.55 19.98 4.98
1 0.75 8.2 19.97 4.97
0 0.8 5 17 1
0.05 0.8 5.455 17.185 1.185
0.1 0.8 6.005 17.445 1.445
0.15 0.8 6.635 17.745 1.745
0.2 0.8 6.94 17.905 1.905
0.25 0.8 7.395 18.245 2.245
0.3 0.8 7.875 18.56 2.56
